[2019-01-25 00:12:12] - 
[2019-01-25 00:13:52] - http://vanmenh.giapdan1974.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 00:43:42] - http://pbmbinhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_3.1pbm
[2019-01-25 01:00:08] - http://pbmbinhngo1966.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_21.01pbm
[2019-01-25 01:10:34] - http://pbmkymui1979.asoca.vn/?mkt=1167&src=LDP.FB.vg02.03012019.tep08
[2019-01-25 01:58:27] - http://pbmatsuu1985.asoca.vn/?mkt=1167&src=LDP.FB.VG07.03012019.tep08
[2019-01-25 01:59:46] - http://vanmenh.canhty1960.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_13.1
[2019-01-25 03:16:26] - http://pbmkyhoi1959.asoca.vn/?mkt=1568&src=LDP.FB.VG03_1568_17.01_PBM
[2019-01-25 03:35:22] - http://vanmenh.canhthan1980.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 04:06:10] - http://vanmenh.giapthin1964.asoca.vn/?mkt=1612&src=LDP.FB.VG12_haonvi1612_21.01
[2019-01-25 04:18:06] - http://vanmenh.quymao1963.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 04:49:28] - http://pbmnhamdan1962.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 05:33:37] - http://pbmatmao1975.asoca.vn/?mkt=1612&src=LDP.FB.VG24_haonvi1612_23.01pbm
[2019-01-25 05:37:10] - http://pbmmauthan1968.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_3.1pbm
[2019-01-25 05:38:22] - http://pbmquysuu1973.asoca.vn/?mkt=1010&src=LDP.FB.VG09_1010_17.01_HT.PBM
[2019-01-25 05:43:01] - http://tdvm2.namcanhthan1980.asoca.vn/?mkt=1010&src=LDP.FB.VG08_1010_05.01
[2019-01-25 05:47:08] - http://tdvm2.nammautuat1958.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 05:54:11] - http://vanmenh.canhthan1980.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 05:55:06] - http://vanmenh.kyhoi1959.asoca.vn/?mkt=1167&src=LDP.FB.vg07.0112.anhmoi&fbclid=IwAR2Az48VbXjkzvWcTCGiNjq84YQlhUAeRwRAt3WDdCW1wf9YnXeBFn2zBpE
[2019-01-25 05:58:43] - http://pbmbinhthan1956.asoca.vn/?mkt=1568&src=LDP.FB.VG13_1568_24.01_PBM
[2019-01-25 06:04:51] - http://pbmtandau1981.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
[2019-01-25 06:21:31] - http://vanmenh.quymao1963.asoca.vn/?mkt=1167&src=LDP.FB.vg07.0901.testcamptot
[2019-01-25 06:23:17] - http://vanmenh.kymui1979.asoca.vn/?mkt=1612&src=LDP.FB.VG16_haonvi1612_12.12
[2019-01-25 06:27:19] - http://vanmenh.nhamty1972.asoca.vn/?mkt=1612&src=LDP.FB.VG12_vihoan_12.12
[2019-01-25 06:41:53] - http://pbmdinhmui1967.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01&fbclid=IwAR33fjpyqQDEbMkUtE9JMmblFPqccNx_eBEK0oFttCSW_VK-zjYVNIMc4gE
[2019-01-25 06:48:24] - http://pbmkymui1979.asoca.vn/?mkt=1525&src=LDP.FB.VG05_pbmall_11.01
